Title,Description,URL,Provider,Date Published
Best ‘cancel for any reason’ travel insurance plans of 2024,Low baggage delay coverage of $200 requires a 12-hour delay. <b>USI</b> Affinity Travel Select travel insurance is the most expensive of our top-rated CFAR plans. It comes with solid emergency medical ...,https://www.usatoday.com/money/blueprint/travel-insurance/cancel-for-any-reason-travel-insurance/,USA Today,2024-10-01T00:00:00.0000000Z
CareSuper and Spirit Super merger update,Learn more about the limited service period here. There are the important details you’ll need from 1 November 2024. Your employer needs the new <b>USI</b> number to make contributions into the new fund from 1 November 2024.,https://www.caresuper.com.au/merger-info,CareSuper,2024-09-20T02:21:00.0000000Z
<b>USI</b> Volleyball rallies for 3-1 win over SE Missouri St.,"University of Southern Indiana Volleyball (6-8, 1-1 OVC) rallied to win three straight sets after dropping the opener against preseason conference favorite Southeast Missouri State University (4-9, 1-1 OVC).",https://www.14news.com/2024/09/29/usi-volleyball-rallies-3-1-win-over-se-missouri-st/,14 NEWS,2024-09-29T08:11:00.0000000Z
Joe Cortez,"After beginning his career in electronic journalism with CBS News and CNN affiliates in California and Ohio, he transitioned into consumer finance in 2012 with <b>USI</b> Insurance Services.",https://www.investopedia.com/joe-cortez-5222189,Investopedia,2022-04-07T20:31:00.0000000Z
Tech topples Southern Indiana behind four unanswered goals,"A flood of offense and a relentless attack propelled the Tennessee Tech soccer team to a 4-1 win at Southern Indiana Sunday afternoon, as the Golden Eagles",https://www.herald-citizen.com/sports/tech-topples-southern-indiana-behind-four-unanswered-goals/article_a4751197-1194-55a2-aaa3-519266f208ef.html,Herald-Citizen,2024-10-06T06:00:00.0000000Z
SIUE men&#39;s soccer tops Southern Indiana for third straight OVC win,"SIUE men&#39;s soccer team wins 2-0 against USI, maintaining a perfect record in OVC play with three consecutive victories.",https://www.thetelegraph.com/sports/article/siue-mens-soccer-ovc-win-19818132.php,The Telegraph,2024-10-06T04:02:00.0000000Z
Kabambe irks UTM top brass,Former Reserve Bank of Malawi governor Dalitso Kabambe has angered some UTM Party top brass with his letter asking party president Michael Usi to push for a commission of inquiry into the June 10 2024 plane crash.,https://mwnation.com/kabambe-irks-utm-top-brass/,mwnation,2024-10-04T06:22:00.0000000Z
<b>USI</b> Releases its Climate and Nature Risk Management Report,"In a decisive move to combat climate change and uphold the principles of the Paris Agreement and the Kunming-Montreal Global Biodiversity Framework, USI (SSE: 601231) released its 2023 Climate and Nature Risk Management Report.",https://finance.yahoo.com/news/usi-releases-climate-nature-risk-230000886.html,YAHOO!Finance,2024-09-29T23:00:00.0000000Z
Vice president calls on youth to advocate for technical skills,"Vice President Dr. Michael Usi, has appreciated the Good News Mission for the support they are providing to the country in empowering the youth. Usi made the remarks on Friday during the grand opening of International Youth Fellowship (IYF) centre in Lilongwe.",https://www.capitalradiomalawi.com/2024/10/04/vice-president-calls-on-youth-to-advocate-for-technical-skills/,capitalradiomalawi,2024-10-04T21:11:00.0000000Z
"Lieutenant General N. S. Raja Subramani, PVSM ...","In his opening address, Lt Gen Raju Baijal, SM, Director General of the Territorial Army (DGTA), welcomed all the participants and dignitaries, emphasizing the important role the Territorial Army plays in India and highlighting some of their key achievements.",https://news.webindia123.com/news/Articles/Business/20241008/4243487.html,Webindia 123,2024-10-08T18:41:00.0000000Z
<b>USI Affinity Travel Insurance Review</b> 2024,Commissions do not affect our editors&#39; opinions or evaluations. We picked <b>USI</b>’s Ruby plan as a top-rated policy with “cancel for any reason” coverage because it provides a variety of top ...,https://www.forbes.com/advisor/travel-insurance/usi-affinity-travel-insurance-review/,Forbes,2023-07-05T18:05:00.0000000Z
"This Little Lenovo Chromebook Is So Good, It&#39;s My Cheap Go-To for Work and Play","The Lenovo Chromebook Duet 11 detachable two-in-one hasn&#39;t changed much over the years, which is why it continues to be one of the best laptop deals around.",https://www.msn.com/en-us/news/technology/this-little-lenovo-chromebook-is-so-good-its-my-cheap-go-to-for-work-and-play/ar-AA1rUyUV,CNET on MSN.com,2024-10-08T20:21:38.0000000Z
"&quot;Har fikr ko dhuyen mein udata chala gaya...,&quot; Anil Vij trails in Haryana&#39;s Ambala Cantt","As per early trends by Election Commission of India, former minister and BJP candidate Anil Vij was shown trailing in the Ambala Cantt constituency by a margin of 13611 votes and independent candidate Chitra Sarwara leading with 14328 votes after four rounds of counting that began this morning.",https://news.webindia123.com/news/Articles/India/20241008/4243486.html,Webindia 123,2024-10-08T18:41:00.0000000Z
SIUE men&#39;s soccer earns shut out for Homecoming,"SIUE men&#39;s soccer made it three wins from three Ohio Valley Conference games thanks to a 2-0 win over Southern Indiana in front of a Homecoming crowd of 2,924 at Korte Stadium. The Cougars have won three straight and improved to 5-3-2 overall.",https://www.theintelligencer.com/sports/article/siue-men-s-soccer-earns-shut-homecoming-19819565.php,The Edwardsville Intelligencer,2024-10-06T21:10:00.0000000Z
"&quot;Har fikr ko dhuyen mein udata chala gaya...,&quot; sings Anil Vij on Haryana Assembly Election results","BJP is on the verge of a strong comeback in Haryana, based on Election Commission trends. Despite initial trailing, BJP candidates, including Haryana CM Nayab Singh, are leading in several constituencies.",https://economictimes.indiatimes.com/news/elections/assembly-elections/haryana/har-fikr-ko-dhuyen-mein-udata-chala-gaya-sings-anil-vij-on-haryana-assembly-election-results/articleshow/114037882.cms,Indiatimes,2024-10-08T07:11:00.0000000Z
<b>USI</b> enrollment increases for consecutive year,"For a consecutive year, USI has had an increase in enrollment after it decreased for the 11th year in 2022.  According to a USI press release, undergraduate, graduate and dual credit total 9,489 students enrolled,",https://usishield.com/43279/news/usi-enrollment-increases-for-consecutive-year/,Shield,2024-09-26T17:41:00.0000000Z
YWCA Evansville to bring awareness to domestic violence with events throughout the month of October,"YWCA Evansville is recognizing Domestic Violence Awareness Month throughout the month of October. The local organization will host events to spread awareness about the prevalence of domestic violence,",https://www.wevv.com/news/ywca-evansville-to-bring-awareness-to-domestic-violence-with-events-throughout-the-month-of-october/article_d0b9fec6-8511-11ef-8bbd-672a92779627.html,wevv,2024-10-08T01:08:00.0000000Z
"<b>Usi</b> 100 days in office: Experts give him 70% delivery rate, says he has gained clout","Malawi breaking news publishing 24 hours a day news about Malawi, Malawi Business, Malawi Tourism, Malawi Politics, Malawi News",https://www.nyasatimes.com/usi-100-days-in-office-experts-give-him-70-delivery-rate-says-he-has-gained-clout/,Malawi Nyasa Times,2024-10-08T07:15:00.0000000Z
