Company_ID,CompanyName,ESG_score,Country,Sector,Industrygroup,Industry,Language,Year,Scope 1 Carbon Emissions,Scope 2 Carbon Emissions,Scope 3 Carbon Emissions,Energy Consumption,Water Consumption,Waste Generation,Environmental Policy & Management,Turnover Rate,Total Employees,Gender Diversity,Training (Number of Times),Training (Average Hours),Employee Fatalities,Occupational Injury,Communities and Philanthropy,Consumer Privacy Protection,Board Composition,Ethical Behavior,Cyber Security,Alignment with Frameworks,Assurance,Policy Influence,Risk & Crisis Management,Partnerships and Collaborations,Public Sentiment,Market Share,Profitability,WACC,Volatility,Liquidity,Beta Coefficient,GDP Growth,Unemployment
14,BOE,66.9,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2022,2.676,2.676,2.676,1.338,1.338,1.338,2.676,4.3485,4.3485,1.6725,0.83625,0.83625,1.338,1.338,0.669,3.345,6.69,6.69,4.014,0.669,0.669,1.338,2.676,1.338,3.345,1.6725,0.669,0.669,0.669,0.669,0.3345,0.669,0.669
15,BOE,60.5,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2023,2.42,2.42,2.42,1.21,1.21,1.21,2.42,3.9325,3.9325,1.5125,0.75625,0.75625,1.21,1.21,0.605,3.025,6.05,6.05,3.63,0.605,0.605,1.21,2.42,1.21,3.025,1.5125,0.605,0.605,0.605,0.605,0.3025,0.605,0.605
16,TCL,73.8,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2020,2.952,2.952,2.952,1.476,1.476,1.476,2.952,4.797,4.797,1.845,0.9225,0.9225,1.476,1.476,0.738,3.69,7.38,7.38,4.428,0.738,0.738,1.476,2.952,1.476,3.69,1.845,0.738,0.738,0.738,0.738,0.369,0.738,0.738
17,TCL,73.6,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2021,2.944,2.944,2.944,1.472,1.472,1.472,2.944,4.784,4.784,1.84,0.92,0.92,1.472,1.472,0.736,3.68,7.36,7.36,4.416,0.736,0.736,1.472,2.944,1.472,3.68,1.84,0.736,0.736,0.736,0.736,0.368,0.736,0.736
18,TCL,68.483333,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2022,2.73933332,2.73933332,2.73933332,1.36966666,1.36966666,1.36966666,2.73933332,4.451416645,4.451416645,1.712083325,0.856041663,0.856041663,1.36966666,1.36966666,0.68483333,3.42416665,6.8483333,6.8483333,4.10899998,0.68483333,0.68483333,1.36966666,2.73933332,1.36966666,3.42416665,1.712083325,0.68483333,0.68483333,0.68483333,0.68483333,0.342416665,0.68483333,0.68483333
19,TCL,79.733333,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2023,3.18933332,3.18933332,3.18933332,1.59466666,1.59466666,1.59466666,3.18933332,5.182666645,5.182666645,1.993333325,0.996666663,0.996666663,1.59466666,1.59466666,0.79733333,3.98666665,7.9733333,7.9733333,4.78399998,0.79733333,0.79733333,1.59466666,3.18933332,1.59466666,3.98666665,1.993333325,0.79733333,0.79733333,0.79733333,0.79733333,0.398666665,0.79733333,0.79733333
20,Microsoft,91,USA,Information Technology,"Electronic Equipment, Instruments & Components",System Software,,2020,3.64,3.64,3.64,1.82,1.82,1.82,3.64,5.915,5.915,2.275,1.1375,1.1375,1.82,1.82,0.91,4.55,9.1,9.1,5.46,0.91,0.91,1.82,3.64,1.82,4.55,2.275,0.91,0.91,0.91,0.91,0.455,0.91,0.91
21,Microsoft,92.3,USA,Information Technology,"Electronic Equipment, Instruments & Components",System Software,,2021,3.692,3.692,3.692,1.846,1.846,1.846,3.692,5.9995,5.9995,2.3075,1.15375,1.15375,1.846,1.846,0.923,4.615,9.23,9.23,5.538,0.923,0.923,1.846,3.692,1.846,4.615,2.3075,0.923,0.923,0.923,0.923,0.4615,0.923,0.923
22,Microsoft,92.6,USA,Information Technology,"Electronic Equipment, Instruments & Components",System Software,EN,2022,3.704,3.704,3.704,1.852,1.852,1.852,3.704,6.019,6.019,2.315,1.1575,1.1575,1.852,1.852,0.926,4.63,9.26,9.26,5.556,0.926,0.926,1.852,3.704,1.852,4.63,2.315,0.926,0.926,0.926,0.926,0.463,0.926,0.926
23,Microsoft,71.025,USA,Information Technology,"Electronic Equipment, Instruments & Components",System Software,EN,2023,2.841,2.841,2.841,1.4205,1.4205,1.4205,2.841,4.616625,4.616625,1.775625,0.8878125,0.8878125,1.4205,1.4205,0.71025,3.55125,7.1025,7.1025,4.2615,0.71025,0.71025,1.4205,2.841,1.4205,3.55125,1.775625,0.71025,0.71025,0.71025,0.71025,0.355125,0.71025,0.71025
24,SAP,92.9,Germany,Information Technology,Software & Services,System Software,EN,2020,3.716,3.716,3.716,1.858,1.858,1.858,3.716,6.0385,6.0385,2.3225,1.16125,1.16125,1.858,1.858,0.929,4.645,9.29,9.29,5.574,0.929,0.929,1.858,3.716,1.858,4.645,2.3225,0.929,0.929,0.929,0.929,0.4645,0.929,0.929
25,SAP,91.25,Germany,Information Technology,Software & Services,System Software,EN,2021,3.65,3.65,3.65,1.825,1.825,1.825,3.65,5.93125,5.93125,2.28125,1.140625,1.140625,1.825,1.825,0.9125,4.5625,9.125,9.125,5.475,0.9125,0.9125,1.825,3.65,1.825,4.5625,2.28125,0.9125,0.9125,0.9125,0.9125,0.45625,0.9125,0.9125
26,SAP,91.9,Germany,Information Technology,Software & Services,System Software,EN,2022,3.676,3.676,3.676,1.838,1.838,1.838,3.676,5.9735,5.9735,2.2975,1.14875,1.14875,1.838,1.838,0.919,4.595,9.19,9.19,5.514,0.919,0.919,1.838,3.676,1.838,4.595,2.2975,0.919,0.919,0.919,0.919,0.4595,0.919,0.919
27,SAP,84.616667,Germany,Information Technology,Software & Services,System Software,EN,2023,3.38466668,3.38466668,3.38466668,1.69233334,1.69233334,1.69233334,3.38466668,5.500083355,5.500083355,2.115416675,1.057708338,1.057708338,1.69233334,1.69233334,0.84616667,4.23083335,8.4616667,8.4616667,5.07700002,0.84616667,0.84616667,1.69233334,3.38466668,1.69233334,4.23083335,2.115416675,0.84616667,0.84616667,0.84616667,0.84616667,0.423083335,0.84616667,0.84616667
28,HUAWEI,57.7,China,Information Technology,Software & Services,System Software,CN,2020,2.308,2.308,2.308,1.154,1.154,1.154,2.308,3.7505,3.7505,1.4425,0.72125,0.72125,1.154,1.154,0.577,2.885,5.77,5.77,3.462,0.577,0.577,1.154,2.308,1.154,2.885,1.4425,0.577,0.577,0.577,0.577,0.2885,0.577,0.577
29,HUAWEI,56.341667,China,Information Technology,Software & Services,System Software,CN,2021,2.25366668,2.25366668,2.25366668,1.12683334,1.12683334,1.12683334,2.25366668,3.662208355,3.662208355,1.408541675,0.704270838,0.704270838,1.12683334,1.12683334,0.56341667,2.81708335,5.6341667,5.6341667,3.38050002,0.56341667,0.56341667,1.12683334,2.25366668,1.12683334,2.81708335,1.408541675,0.56341667,0.56341667,0.56341667,0.56341667,0.281708335,0.56341667,0.56341667
30,HUAWEI,57.4,China,Information Technology,Software & Services,System Software,CN,2022,2.296,2.296,2.296,1.148,1.148,1.148,2.296,3.731,3.731,1.435,0.7175,0.7175,1.148,1.148,0.574,2.87,5.74,5.74,3.444,0.574,0.574,1.148,2.296,1.148,2.87,1.435,0.574,0.574,0.574,0.574,0.287,0.574,0.574
31,HUAWEI,59.666667,China,Information Technology,Software & Services,System Software,CN,2023,2.38666668,2.38666668,2.38666668,1.19333334,1.19333334,1.19333334,2.38666668,3.878333355,3.878333355,1.491666675,0.745833338,0.745833338,1.19333334,1.19333334,0.59666667,2.98333335,5.9666667,5.9666667,3.58000002,0.59666667,0.59666667,1.19333334,2.38666668,1.19333334,2.98333335,1.491666675,0.59666667,0.59666667,0.59666667,0.59666667,0.298333335,0.59666667,0.59666667
32,Kingdee International Software Group,82.6,China,Information Technology,Software & Services,Application Software,EN,2020,3.304,3.304,3.304,1.652,1.652,1.652,3.304,5.369,5.369,2.065,1.0325,1.0325,1.652,1.652,0.826,4.13,8.26,8.26,4.956,0.826,0.826,1.652,3.304,1.652,4.13,2.065,0.826,0.826,0.826,0.826,0.413,0.826,0.826
33,Kingdee International Software Group,82,China,Information Technology,Software & Services,Application Software,EN,2021,3.28,3.28,3.28,1.64,1.64,1.64,3.28,5.33,5.33,2.05,1.025,1.025,1.64,1.64,0.82,4.1,8.2,8.2,4.92,0.82,0.82,1.64,3.28,1.64,4.1,2.05,0.82,0.82,0.82,0.82,0.41,0.82,0.82
34,Kingdee International Software Group,82.433333,China,Information Technology,Software & Services,Application Software,EN,2022,3.29733332,3.29733332,3.29733332,1.64866666,1.64866666,1.64866666,3.29733332,5.358166645,5.358166645,2.060833325,1.030416663,1.030416663,1.64866666,1.64866666,0.82433333,4.12166665,8.2433333,8.2433333,4.94599998,0.82433333,0.82433333,1.64866666,3.29733332,1.64866666,4.12166665,2.060833325,0.82433333,0.82433333,0.82433333,0.82433333,0.412166665,0.82433333,0.82433333
35,Kingdee International Software Group,83.2,China,Information Technology,Software & Services,Application Software,EN,2023,3.328,3.328,3.328,1.664,1.664,1.664,3.328,5.408,5.408,2.08,1.04,1.04,1.664,1.664,0.832,4.16,8.32,8.32,4.992,0.832,0.832,1.664,3.328,1.664,4.16,2.08,0.832,0.832,0.832,0.832,0.416,0.832,0.832
36,Tencent,64.6,China,Information Technology,Software & Services,Internet Services & Infrastructure,EN,2020,2.584,2.584,2.584,1.292,1.292,1.292,2.584,4.199,4.199,1.615,0.8075,0.8075,1.292,1.292,0.646,3.23,6.46,6.46,3.876,0.646,0.646,1.292,2.584,1.292,3.23,1.615,0.646,0.646,0.646,0.646,0.323,0.646,0.646
37,Tencent,65.2,China,Information Technology,Software & Services,Internet Services & Infrastructure,EN,2021,2.608,2.608,2.608,1.304,1.304,1.304,2.608,4.238,4.238,1.63,0.815,0.815,1.304,1.304,0.652,3.26,6.52,6.52,3.912,0.652,0.652,1.304,2.608,1.304,3.26,1.63,0.652,0.652,0.652,0.652,0.326,0.652,0.652
38,Tencent,66.9,China,Information Technology,Software & Services,Internet Services & Infrastructure,EN,2022,2.676,2.676,2.676,1.338,1.338,1.338,2.676,4.3485,4.3485,1.6725,0.83625,0.83625,1.338,1.338,0.669,3.345,6.69,6.69,4.014,0.669,0.669,1.338,2.676,1.338,3.345,1.6725,0.669,0.669,0.669,0.669,0.3345,0.669,0.669
39,Tencent,60.275,China,Information Technology,Software & Services,Internet Services & Infrastructure,EN,2023,2.411,2.411,2.411,1.2055,1.2055,1.2055,2.411,3.917875,3.917875,1.506875,0.7534375,0.7534375,1.2055,1.2055,0.60275,3.01375,6.0275,6.0275,3.6165,0.60275,0.60275,1.2055,2.411,1.2055,3.01375,1.506875,0.60275,0.60275,0.60275,0.60275,0.301375,0.60275,0.60275
40,Infosys,82.9,India,Information Technology,Software & Services,IT Consulting & Other Services,EN,2020,3.316,3.316,3.316,1.658,1.658,1.658,3.316,5.3885,5.3885,2.0725,1.03625,1.03625,1.658,1.658,0.829,4.145,8.29,8.29,4.974,0.829,0.829,1.658,3.316,1.658,4.145,2.0725,0.829,0.829,0.829,0.829,0.4145,0.829,0.829
41,Infosys,78.3,India,Information Technology,Software & Services,IT Consulting & Other Services,EN,2021,3.132,3.132,3.132,1.566,1.566,1.566,3.132,5.0895,5.0895,1.9575,0.97875,0.97875,1.566,1.566,0.783,3.915,7.83,7.83,4.698,0.783,0.783,1.566,3.132,1.566,3.915,1.9575,0.783,0.783,0.783,0.783,0.3915,0.783,0.783
42,Infosys,76.1,India,Information Technology,Software & Services,IT Consulting & Other Services,EN,2022,3.044,3.044,3.044,1.522,1.522,1.522,3.044,4.9465,4.9465,1.9025,0.95125,0.95125,1.522,1.522,0.761,3.805,7.61,7.61,4.566,0.761,0.761,1.522,3.044,1.522,3.805,1.9025,0.761,0.761,0.761,0.761,0.3805,0.761,0.761
