Company_ID,CompanyName,ESG_score,Country,Sector,Industrygroup,Industry,Language,Year,Scope 1 Carbon Emissions,Scope 2 Carbon Emissions,Scope 3 Carbon Emissions,Energy Consumption,Water Consumption,Waste Generation,Environmental Policy & Management,Turnover Rate,Total Employees,Gender Diversity,Training (Number of Times),Training (Average Hours),Employee Fatalities,Occupational Injury,Communities and Philanthropy,Consumer Privacy Protection,Board Composition,Ethical Behavior,Cyber Security,Alignment with Frameworks,Assurance,Policy Influence,Risk & Crisis Management,Partnerships and Collaborations,Public Sentiment,Market Share,Profitability,WACC,Volatility,Liquidity,Beta Coefficient,GDP Growth,Unemployment
11,Pegatron,63.516667,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2023,3.17583335,3.17583335,3.17583335,1.90550001,1.90550001,1.90550001,2.54066668,1.27033334,1.27033334,1.27033334,0.63516667,0.63516667,0.63516667,0.63516667,0.63516667,3.17583335,9.527500049999999,9.527500049999999,3.17583335,0.63516667,0.63516667,1.27033334,0.63516667,1.27033334,3.17583335,1.587916675,0.63516667,0.63516667,0.63516667,0.63516667,0.317583335,0.63516667,0.63516667
12,BOE,65.375,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2020,3.2687500000000003,3.2687500000000003,3.2687500000000003,1.96125,1.96125,1.96125,2.615,1.3075,1.3075,1.3075,0.65375,0.65375,0.65375,0.65375,0.65375,3.2687500000000003,9.80625,9.80625,3.2687500000000003,0.65375,0.65375,1.3075,0.65375,1.3075,3.2687500000000003,1.6343750000000001,0.65375,0.65375,0.65375,0.65375,0.326875,0.65375,0.65375
13,BOE,73.7,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2021,3.6850000000000005,3.6850000000000005,3.6850000000000005,2.211,2.211,2.211,2.948,1.474,1.474,1.474,0.737,0.737,0.737,0.737,0.737,3.6850000000000005,11.055,11.055,3.6850000000000005,0.737,0.737,1.474,0.737,1.474,3.6850000000000005,1.8425000000000002,0.737,0.737,0.737,0.737,0.3685,0.737,0.737
14,BOE,66.9,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2022,3.3450000000000006,3.3450000000000006,3.3450000000000006,2.007,2.007,2.007,2.676,1.338,1.338,1.338,0.669,0.669,0.669,0.669,0.669,3.3450000000000006,10.035,10.035,3.3450000000000006,0.669,0.669,1.338,0.669,1.338,3.3450000000000006,1.6725000000000003,0.669,0.669,0.669,0.669,0.3345,0.669,0.669
15,BOE,60.5,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2023,3.0250000000000004,3.0250000000000004,3.0250000000000004,1.815,1.815,1.815,2.42,1.21,1.21,1.21,0.605,0.605,0.605,0.605,0.605,3.0250000000000004,9.075,9.075,3.0250000000000004,0.605,0.605,1.21,0.605,1.21,3.0250000000000004,1.5125000000000002,0.605,0.605,0.605,0.605,0.3025,0.605,0.605
16,TCL,73.8,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2020,3.69,3.69,3.69,2.214,2.214,2.214,2.952,1.476,1.476,1.476,0.738,0.738,0.738,0.738,0.738,3.69,11.069999999999999,11.069999999999999,3.69,0.738,0.738,1.476,0.738,1.476,3.69,1.845,0.738,0.738,0.738,0.738,0.369,0.738,0.738
17,TCL,73.6,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2021,3.6799999999999997,3.6799999999999997,3.6799999999999997,2.2079999999999997,2.2079999999999997,2.2079999999999997,2.944,1.472,1.472,1.472,0.736,0.736,0.736,0.736,0.736,3.6799999999999997,11.04,11.04,3.6799999999999997,0.736,0.736,1.472,0.736,1.472,3.6799999999999997,1.8399999999999999,0.736,0.736,0.736,0.736,0.368,0.736,0.736
18,TCL,68.483333,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2022,3.42416665,3.42416665,3.42416665,2.05449999,2.05449999,2.05449999,2.73933332,1.36966666,1.36966666,1.36966666,0.68483333,0.68483333,0.68483333,0.68483333,0.68483333,3.42416665,10.27249995,10.27249995,3.42416665,0.68483333,0.68483333,1.36966666,0.68483333,1.36966666,3.42416665,1.712083325,0.68483333,0.68483333,0.68483333,0.68483333,0.342416665,0.68483333,0.68483333
19,TCL,79.733333,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2023,3.98666665,3.98666665,3.98666665,2.39199999,2.39199999,2.39199999,3.1893333200000002,1.5946666600000001,1.5946666600000001,1.5946666600000001,0.7973333300000001,0.7973333300000001,0.7973333300000001,0.7973333300000001,0.7973333300000001,3.98666665,11.95999995,11.95999995,3.98666665,0.7973333300000001,0.7973333300000001,1.5946666600000001,0.7973333300000001,1.5946666600000001,3.98666665,1.993333325,0.7973333300000001,0.7973333300000001,0.7973333300000001,0.7973333300000001,0.39866666500000003,0.7973333300000001,0.7973333300000001
20,Microsoft,91.0,USA,Information Technology,"Electronic Equipment, Instruments & Components",System Software,,2020,4.55,4.55,4.55,2.73,2.73,2.73,3.64,1.82,1.82,1.82,0.91,0.91,0.91,0.91,0.91,4.55,13.65,13.65,4.55,0.91,0.91,1.82,0.91,1.82,4.55,2.275,0.91,0.91,0.91,0.91,0.455,0.91,0.91
